Sexo;Comunidades Autónomas;Sector del nivel de formación alcanzado;Periodo;Total
Hombres;01 Andalucía;00 Formación general, formación básica de adultos y habilidades personales;2020;20,95
Hombres;01 Andalucía;00 Formación general, formación básica de adultos y habilidades personales;2019;21,74
Hombres;01 Andalucía;00 Formación general, formación básica de adultos y habilidades personales;2018;24,37
Hombres;01 Andalucía;00 Formación general, formación básica de adultos y habilidades personales;2017;27,2
Hombres;01 Andalucía;00 Formación general, formación básica de adultos y habilidades personales;2016;31,45
Hombres;01 Andalucía;01 Educación;2020;6,67
Hombres;01 Andalucía;01 Educación;2019;7,66
Hombres;01 Andalucía;01 Educación;2018;7,31
Hombres;01 Andalucía;01 Educación;2017;20,11
Hombres;01 Andalucía;01 Educación;2016;15,54
Hombres;01 Andalucía;02 Artes, humanidades y lenguas;2020;29,67
Hombres;01 Andalucía;02 Artes, humanidades y lenguas;2019;9,53
Hombres;01 Andalucía;02 Artes, humanidades y lenguas;2018;11,42
Hombres;01 Andalucía;02 Artes, humanidades y lenguas;2017;18,29
Hombres;01 Andalucía;02 Artes, humanidades y lenguas;2016;24,98
Hombres;01 Andalucía;03 Ciencias sociales, periodismo y documentación;2020;6,76
Hombres;01 Andalucía;03 Ciencias sociales, periodismo y documentación;2019;11,58
Hombres;01 Andalucía;03 Ciencias sociales, periodismo y documentación;2018;13,64
Hombres;01 Andalucía;03 Ciencias sociales, periodismo y documentación;2017;6,03
Hombres;01 Andalucía;03 Ciencias sociales, periodismo y documentación;2016;13,56
Hombres;01 Andalucía;04 Negocios, administración y derecho;2020;16,46
Hombres;01 Andalucía;04 Negocios, administración y derecho;2019;8,05
Hombres;01 Andalucía;04 Negocios, administración y derecho;2018;10,41
Hombres;01 Andalucía;04 Negocios, administración y derecho;2017;12,53
Hombres;01 Andalucía;04 Negocios, administración y derecho;2016;12,82
Hombres;01 Andalucía;05 Ciencias naturales, químicas, físicas y matemáticas;2020;11,85
Hombres;01 Andalucía;05 Ciencias naturales, químicas, físicas y matemáticas;2019;17,25
Hombres;01 Andalucía;05 Ciencias naturales, químicas, físicas y matemáticas;2018;10,97
Hombres;01 Andalucía;05 Ciencias naturales, químicas, físicas y matemáticas;2017;10,06
Hombres;01 Andalucía;05 Ciencias naturales, químicas, físicas y matemáticas;2016;14,45
Hombres;01 Andalucía;06 Tecnologías de la información y las comunicaciones (TIC);2020;15,18
Hombres;01 Andalucía;06 Tecnologías de la información y las comunicaciones (TIC);2019;12,68
Hombres;01 Andalucía;06 Tecnologías de la información y las comunicaciones (TIC);2018;15,73
Hombres;01 Andalucía;06 Tecnologías de la información y las comunicaciones (TIC);2017;17,71
Hombres;01 Andalucía;06 Tecnologías de la información y las comunicaciones (TIC);2016;23,95
Hombres;01 Andalucía;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2020;13,6
Hombres;01 Andalucía;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2019;12,79
Hombres;01 Andalucía;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2018;13,59
Hombres;01 Andalucía;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2017;18,45
Hombres;01 Andalucía;07 Mecánica, electrónica y otra formación técnica, industria y construcción;2016;20,9
Hombres;01 Andalucía;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2020;10,95
Hombres;01 Andalucía;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2019;8,33
Hombres;01 Andalucía;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2018;7,85
Hombres;01 Andalucía;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2017;20,01
Hombres;01 Andalucía;08 Agricultura, ganadería, pesca, silvicultura y veterinaria;2016;30,91
Hombres;01 Andalucía;09 Salud y servicios sociales;2020;18,11
Hombres;01 Andalucía;09 Salud y servicios sociales;2019;11,78
Hombres;01 Andalucía;09 Salud y servicios sociales;2018;10,82
Hombres;01 Andalucía;09 Salud y servicios sociales;2017;12,01
Hombres;01 Andalucía;09 Salud y servicios sociales;2016;8,77
Hombres;01 Andalucía;10 Servicios;2020;18,81
