"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2020,1,1,"Ciutat Vella",1,"el Raval","Homes","Atur Registrat",1724
2020,1,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Atur Registrat",491
2020,1,1,"Ciutat Vella",3,"la Barceloneta","Homes","Atur Registrat",489
2020,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Atur Registrat",673
2020,1,2,"Eixample",5,"el Fort Pienc","Homes","Atur Registrat",542
2020,1,2,"Eixample",6,"la Sagrada Família","Homes","Atur Registrat",873
2020,1,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Atur Registrat",584
2020,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Atur Registrat",615
2020,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Atur Registrat",980
2020,1,2,"Eixample",10,"Sant Antoni","Homes","Atur Registrat",714
2020,1,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Atur Registrat",1025
2020,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Atur Registrat",49
2020,1,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Atur Registrat",700
2020,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Atur Registrat",257
2020,1,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Atur Registrat",317
2020,1,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Atur Registrat",372
2020,1,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","Atur Registrat",381
2020,1,3,"Sants-Montjuïc",18,"Sants","Homes","Atur Registrat",747
2020,1,4,"Les Corts",19,"les Corts","Homes","Atur Registrat",766
2020,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","Atur Registrat",376
2020,1,4,"Les Corts",21,"Pedralbes","Homes","Atur Registrat",81
2020,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","Atur Registrat",43
2020,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","Atur Registrat",193
2020,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes","Atur Registrat",167
2020,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes","Atur Registrat",263
2020,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes","Atur Registrat",469
2020,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes","Atur Registrat",431
2020,1,6,"Gràcia",28,"Vallcarca i els Penitents","Homes","Atur Registrat",285
2020,1,6,"Gràcia",29,"el Coll","Homes","Atur Registrat",119
2020,1,6,"Gràcia",30,"la Salut","Homes","Atur Registrat",246
2020,1,6,"Gràcia",31,"la Vila de Gràcia","Homes","Atur Registrat",878
2020,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes","Atur Registrat",580
2020,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes","Atur Registrat",448
2020,1,7,"Horta-Guinardó",34,"Can Baró","Homes","Atur Registrat",177
2020,1,7,"Horta-Guinardó",35,"el Guinardó","Homes","Atur Registrat",714
2020,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Homes","Atur Registrat",220
2020,1,7,"Horta-Guinardó",37,"el Carmel","Homes","Atur Registrat",752
2020,1,7,"Horta-Guinardó",38,"la Teixonera","Homes","Atur Registrat",234
2020,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Homes","Atur Registrat",143
2020,1,7,"Horta-Guinardó",40,"Montbau","Homes","Atur Registrat",103
2020,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Homes","Atur Registrat",110
2020,1,7,"Horta-Guinardó",42,"la Clota","Homes","Atur Registrat",8
2020,1,7,"Horta-Guinardó",43,"Horta","Homes","Atur Registrat",608
