"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupació","Nombre"
2018,1,1,"Ciutat Vella",1,"el Raval","Homes","Atur registrat","2026"
2018,1,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Atur registrat","493"
2018,1,1,"Ciutat Vella",3,"la Barceloneta","Homes","Atur registrat","547"
2018,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Atur registrat","751"
2018,1,2,"Eixample",5,"el Fort Pienc","Homes","Atur registrat","584"
2018,1,2,"Eixample",6,"la Sagrada Família","Homes","Atur registrat","926"
2018,1,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Atur registrat","602"
2018,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Atur registrat","719"
2018,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Atur registrat","1048"
2018,1,2,"Eixample",10,"Sant Antoni","Homes","Atur registrat","800"
2018,1,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Atur registrat","1193"
2018,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Atur registrat","67"
2018,1,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Atur registrat","776"
2018,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Atur registrat","298"
2018,1,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Atur registrat","324"
2018,1,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Atur registrat","381"
2018,1,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","Atur registrat","397"
2018,1,3,"Sants-Montjuïc",18,"Sants","Homes","Atur registrat","769"
2018,1,4,"Les Corts",19,"les Corts","Homes","Atur registrat","784"
2018,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","Atur registrat","393"
2018,1,4,"Les Corts",21,"Pedralbes","Homes","Atur registrat","96"
2018,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","Atur registrat","45"
2018,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","Atur registrat","216"
2018,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes","Atur registrat","172"
2018,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes","Atur registrat","251"
2018,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes","Atur registrat","474"
2018,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes","Atur registrat","432"
2018,1,6,"Gràcia",28,"Vallcarca i els Penitents","Homes","Atur registrat","278"
2018,1,6,"Gràcia",29,"el Coll","Homes","Atur registrat","115"
2018,1,6,"Gràcia",30,"la Salut","Homes","Atur registrat","236"
2018,1,6,"Gràcia",31,"la Vila de Gràcia","Homes","Atur registrat","933"
2018,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes","Atur registrat","589"
2018,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes","Atur registrat","455"
2018,1,7,"Horta-Guinardó",34,"Can Baró","Homes","Atur registrat","169"
2018,1,7,"Horta-Guinardó",35,"el Guinardó","Homes","Atur registrat","733"
2018,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Homes","Atur registrat","228"
2018,1,7,"Horta-Guinardó",37,"el Carmel","Homes","Atur registrat","777"
2018,1,7,"Horta-Guinardó",38,"la Teixonera","Homes","Atur registrat","243"
2018,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Homes","Atur registrat","148"
2018,1,7,"Horta-Guinardó",40,"Montbau","Homes","Atur registrat","107"
2018,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Homes","Atur registrat","114"
2018,1,7,"Horta-Guinardó",42,"la Clota","Homes","Atur registrat","8"
2018,1,7,"Horta-Guinardó",43,"Horta","Homes","Atur registrat","668"
2018,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Homes","Atur registrat","620"
2018,1,8,"Nou Barris",45,"Porta","Homes","Atur registrat","589"
2018,1,8,"Nou Barris",46,"el Turó de la Peira","Homes","Atur registrat","393"
2018,1,8,"Nou Barris",47,"Can Peguera","Homes","Atur registrat","54"
2018,1,8,"Nou Barris",48,"la Guineueta","Homes","Atur registrat","437"
2018,1,8,"Nou Barris",49,"Canyelles","Homes","Atur registrat","213"
2018,1,8,"Nou Barris",50,"les Roquetes","Homes","Atur registrat","462"
2018,1,8,"Nou Barris",51,"Verdun","Homes","Atur registrat","354"
2018,1,8,"Nou Barris",52,"la Prosperitat","Homes","Atur registrat","662"
2018,1,8,"Nou Barris",53,"la Trinitat Nova","Homes","Atur registrat","324"
